Name,year 1998,year 1999,year 2000,year 2001,year 2002,year 2003,year 2004,year 2005,year 2006,year 2007,year 2008,year 2009,year 2010,year 2011,year 2012,year 2013
Agnes,222,257,271,362,398,443,473,478,927,620,587,576,588,571,577,584
Alexandra,298,401,316,264,298,206,218,201,180,151,128,124,,,,
Alice,395,377,462,453,524,672,774,913,802,806,764,977,867,985,938,903
Alicia,240,184,191,217,259,331,349,375,370,358,436,458,456,419,531,625
Alma,144,218,235,292,339,373,402,423,415,452,441,484,506,458,412,447
Alva,292,362,458,553,700,849,844,862,916,781,722,771,711,618,595,607
Amanda,1037,976,888,853,787,739,702,667,549,598,597,539,475,431,375,353
Amelia,,,,,,,,145,149,,,,,,,
Andrea,111,93,117,114,101,117,,,,,,,,,,
Angelica,130,110,81,83,,,,,,,,,,,,
Angelina,,,,,,,,,153,112,,,,,,
Anna,544,508,476,439,444,439,354,294,293,246,177,172,172,161,141,130
Annie,155,149,130,164,128,147,132,137,117,130,129,,133,133,135,
Astrid,101,95,126,109,123,149,163,171,242,262,306,396,441,418,459,439
Beatrice,88,94,70,,,,,,,,,,,,,
Carolina,,,,,,,,,,,,,,,,
Caroline,270,217,153,149,127,,,,,,,,,,,
Cassandra,101,105,103,90,,104,,,,,,,,,,
Cecilia,151,151,135,127,108,,,,,,,,,,,
Cornelia,199,236,220,190,204,198,188,288,271,219,229,240,198,197,188,230
Daniela,106,104,87,,,,,,,,,,,,,
Denise,88,,,,,,,,,,,,,,,
Ebba,578,605,684,636,661,706,780,774,705,758,625,655,661,683,653,663
Edit,,,,,,,,,,152,167,211,248,248,283,277
Elin,1043,1084,1003,947,1047,1055,988,875,771,747,628,572,570,514,387,371
Elina,103,121,136,127,145,194,172,217,199,182,167,164,160,165,151,162
Elise,,,,,,,104,,,,123,163,161,180,231,254
Ella,199,195,267,353,572,689,780,806,765,860,798,810,737,712,681,700
Ellen,379,416,463,433,517,510,549,498,506,523,477,493,545,503,517,501
Ellinor,166,181,175,131,127,123,,,,,,,,,,134
Elly,,,,,,,,,,,118,192,328,342,381,375
Elsa,225,212,259,310,427,474,620,606,628,730,776,772,724,723,756,766
Elvira,134,135,171,173,207,251,229,245,268,350,376,365,412,367,346,341
Emelie,636,646,545,494,480,478,492,440,331,292,351,321,253,251,241,204
Emilia,310,615,603,569,633,629,573,559,640,594,529,556,522,511,481,486
Emma,1468,1396,1190,1121,1223,1383,1265,1109,1019,835,827,798,722,641,631,569
Emmy,188,193,223,193,194,217,251,237,209,216,202,201,212,198,173,161
Engla,,,,,,105,114,172,209,255,198,,,,,
Erika,234,212,189,134,122,,,,,,,,,,,
Ester,,,,,,133,134,211,231,278,275,332,339,347,384,399
Evelina,315,322,275,211,254,229,231,215,213,180,195,185,199,161,126,
Fanny,405,373,331,292,303,283,227,216,184,172,150,133,,,,
Felicia,727,628,675,646,631,606,522,544,533,669,465,445,412,376,351,349
Filippa,256,308,322,313,392,400,444,558,474,445,354,316,269,273,233,208
Freja,,,,,,,130,138,261,327,347,312,378,506,504,546
Frida,611,494,476,390,455,460,424,406,320,293,221,200,167,147,128,
Gabriella,143,147,124,89,,111,,,,,,,,,,
Greta,,,,,,,,,,,,132,159,140,150,177
Hanna,1006,1041,1024,1031,987,939,856,815,719,564,539,473,408,348,318,282
Hedda,,,,,115,106,,127,,,135,131,150,137,134,160
Hedvig,,,,,,,,,,,,,129,128,140,
Hilda,,76,86,111,121,115,138,157,189,186,169,160,176,154,160,174
Hilma,,,,,,,,,,,,,,126,,146
Ida,749,736,812,865,937,975,1013,906,850,763,639,574,577,459,452,368
Inez,,,,,,,,,142,146,184,229,252,291,263,309
Ingrid,,,,,,,,,112,143,172,151,182,205,205,225
Iris,,,,,,,,,,,150,158,164,197,188,229
Irma,,,,,,,,,,110,122,,,,,
Isa,,,,,,,108,,,,,,,,,
Isabella,237,252,245,262,275,306,271,290,326,376,395,386,467,389,422,358
Isabelle,394,386,454,422,436,480,473,546,535,514,596,550,583,597,570,553
Jasmine,167,183,176,195,188,188,191,213,146,,222,207,201,196,192,170
Jennifer,348,362,395,350,301,306,244,181,162,122,104,,,,,
Jenny,281,237,222,167,131,125,101,,,,,,,,,
Jessica,205,199,161,102,103,,,,,,,,,,,
Johanna,749,675,552,512,493,414,290,261,225,165,137,122,,,,
Joline,,,,,,,,,,,130,171,179,172,176,161
Jonna,151,159,153,139,173,161,149,113,112,,,,,,,
Josefin,630,563,577,467,473,427,377,336,237,215,186,189,162,163,148,139
Julia,1171,1230,1246,1166,1003,896,945,916,921,816,821,741,823,723,683,687
Juni,,,,,,,,,,,,,130,193,227,253
Kajsa,284,279,338,330,330,324,260,241,179,169,164,175,137,,,
Karin,103,132,103,103,,,,,,,,,,,,
Karolina,186,172,117,117,99,,,,,,,,,,,
Klara,510,544,579,745,733,728,797,716,749,675,662,593,638,567,575,573
Kristina,103,72,,,,,,,,,,,,,,
Lea,,,,,,,120,188,203,205,254,269,308,321,342,358
Leah,,,,,,,,,,,,,,,,
Leia,,,,,,,109,115,134,130,162,205,276,215,217,218
Lilly,,,,,,,,,124,211,267,358,460,502,516,575
Lina,310,270,280,262,276,261,246,271,212,156,158,161,150,147,138,
Linda,199,156,111,102,96,,,,,,,,,,,
Linn,373,355,497,391,412,414,416,315,322,224,220,211,219,179,175,147
Linnéa,936,955,988,839,943,912,896,880,854,778,718,685,750,720,623,552
Lisa,384,381,405,393,388,368,347,346,299,266,219,199,220,177,193,156
Liv,,,,,98,112,137,151,120,128,186,207,240,246,243,290
Livia,,,,,,,,,,114,120,146,210,199,189,195
Louise,322,289,236,233,194,193,194,163,115,108,,,,,,
Lova,,,,,127,275,309,287,288,225,312,345,372,323,299,295
Lovisa,442,401,403,418,474,492,481,421,434,377,362,356,336,299,309,295
Lykke,,,,,,,,,,,,,,,148,173
Madeleine,284,236,221,175,158,148,102,,,,,,,,,
Maja,459,735,743,789,780,856,1024,1039,1019,907,850,870,895,743,670,767
Majken,,,,,,,,,,,115,,136,137,181,193
Malin,413,326,262,199,192,202,158,121,,,,,,,,
Malva,,,,,,,,,,113,,140,,,,
Maria,237,197,191,161,166,145,153,138,126,143,118,124,166,126,128,127
Matilda,847,807,810,791,810,717,739,646,502,479,448,479,433,356,348,299
Meja,,,,,,105,149,172,232,250,258,386,359,309,281,301
Melina,,,,,,,,,,,,,,,,125
Melissa,76,86,88,87,97,104,124,113,127,141,138,149,174,186,217,254
Michelle,141,120,108,112,102,109,,,,,,,,,,
Mikaela,347,241,195,162,155,119,101,170,,,,,,,,
Minna,,,,,,107,112,117,,,,,154,311,189,202
Mira,,,,,,,112,137,142,191,212,210,178,164,160,170
Miranda,79,88,83,106,96,140,,124,152,139,146,123,,,,
Moa,780,805,743,689,799,817,711,695,622,569,515,509,542,462,427,382
Molly,91,118,118,148,170,205,219,266,326,431,547,625,677,675,606,554
My,130,157,178,151,156,149,152,148,127,145,,143,180,185,205,150
Märta,,,,,,,,115,115,139,140,163,189,212,199,193
Nathalie,420,339,402,361,415,361,350,361,208,339,369,331,282,251,233,216
Nellie,218,191,196,226,309,357,394,462,533,675,645,616,592,633,575,502
Nicole,137,134,139,114,123,151,119,137,141,114,,139,142,140,,122
Nina,77,,,,,,,,,,,,,,,
Nora,172,239,250,260,270,280,344,327,344,369,361,337,290,305,290,282
Nova,,,,,,122,233,314,375,448,470,466,515,474,428,456
Novalie,,,,,,,,,,,,,129,,126,157
